                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4954,                 3.8612,                 4.2237,                0.00264,                0.47076,                0.00467,                0.00113,                 3.4722,                 4.2615,                 4.1536,                 0.0005,                 0.0005,                 0.0005
                      2,                 3.1881,                 3.4297,                 3.9939,                0.00282,                0.50292,                0.00558,                0.00126,                  3.496,                 4.2075,                 4.1911,              0.0006834,              0.0006834,              0.0006834
                      3,                 3.1104,                 3.1089,                 3.7799,                0.00298,                0.53216,                 0.0068,                0.00169,                 3.2287,                 4.1071,                 4.0488,              0.0005236,              0.0005236,              0.0005236
