                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.96274,                0.19591,                0.64047,                 0.3196,                 1.4427,                 3.2001,                 1.4566,                 0.0005,                 0.0005,                 0.0005
                      2,                    nan,                    nan,                    nan,                0.96274,                0.19591,                0.64047,                 0.3196,                    nan,                    nan,                    nan,              0.0006834,              0.0006834,              0.0006834
                      3,                    nan,                    nan,                    nan,                0.96274,                0.19591,                0.64047,                 0.3196,                    nan,                    nan,                    nan,              0.0005236,              0.0005236,              0.0005236
