                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.00254,                0.45322,                0.00378,                0.00094,                 3.4719,                 4.2384,                 4.1535,                 0.0005,                 0.0005,                 0.0005
                      2,                    nan,                    nan,                    nan,                0.00254,                0.45322,                0.00378,                0.00094,                    nan,                    nan,                    nan,              0.0006834,              0.0006834,              0.0006834
                      3,                    nan,                    nan,                    nan,                0.00254,                0.45322,                0.00378,                0.00094,                    nan,                    nan,                    nan,              0.0005236,              0.0005236,              0.0005236
